Data_Collection_Start,Data_Collection_End,Backtest_Start,Backtest_End,Stock_Selection_Method,Stocks,Sharpe,Starting_Value,Ending_Value,SPY Retrun
2016-01-01,2017-01-01,2017-01-01,2018-01-01,High Profit Stocks,"TOELY,TRP,MTB,ASML,IDXX,JPM,ITUB,EOG,^IRX",2.4949169849460895,100000,111924.404855109,
2016-01-01,2017-01-01,2017-01-01,2018-01-01,High Sharpe Ratio Stocks,"TOELY,TRP,BRK-B,ASML,IDXX,BMO,EOG,ITUB,^IRX",2.4950898863973063,100000,119298.07357902064,
2017-01-01,2018-01-01,2018-01-01,2019-01-01 00:00:00,High Profit Stocks,"DHI,V,ABT,ISRG,CAT,MCD,^IRX",5.246875484895552,100000,101331.8295388136,
2017-01-01,2018-01-01,2018-01-01,2019-01-01 00:00:00,High Sharpe Ratio Stocks,"DHI,V,ABT,ISRG,CAT,MCD,^IRX",5.246342997058775,100000,101331.92565935232,
2017-01-01,2018-01-01,2018-01-01,2019-01-01 00:00:00,High Profit Stocks,"DHI,V,ABT,ISRG,CAT,MCD,^IRX",5.247479334177423,100000,101056.00145234515,0.1888120569820936
2017-01-01,2018-01-01,2018-01-01,2019-01-01 00:00:00,High Sharpe Ratio Stocks,"DHI,V,ABT,ISRG,CAT,MCD,^IRX",5.24408141068505,100000,100861.06476394652,0.1888120569820936
2018-01-01,2019-01-01,2019-01-01,2020-01-01 00:00:00,High Profit Stocks,"AXON,MRK,ISRG,MA,NFLX,OLCLY,V,MSCI,^IRX",1.5537463004040006,100000,146987.8433761685,-0.0538987239509662
2018-01-01,2019-01-01,2019-01-01,2020-01-01 00:00:00,High Sharpe Ratio Stocks,"AXON,MRK,MA,ORLY,NFLX,NOW,AJG,MSCI,^IRX",1.722981647202558,100000,143559.15722435503,-0.0538987239509662
2019-01-01,2020-01-01,2020-01-01,2021-01-01 00:00:00,High Profit Stocks,"ASML,TRP,MA,APD,MSCI,URI,ACGL,LULU,^IRX",3.649236797457211,100000,124956.077246676,0.2706949992256742
2019-01-01,2020-01-01,2020-01-01,2021-01-01 00:00:00,High Sharpe Ratio Stocks,"ASML,BX,TRP,APD,APO,URI,ACGL,LULU,^IRX",3.769222046703818,100000,110016.96432413276,0.2706949992256742
2020-01-01,2021-01-01,2021-01-01,2022-01-01 00:00:00,High Profit Stocks,"CNI,ISRG,HSBC,SHECY,HLT,XEL,OKE,APD",0.8477225609936493,100000,155515.7535504546,0.1590123725278141
2020-01-01,2021-01-01,2021-01-01,2022-01-01 00:00:00,High Sharpe Ratio Stocks,"IDXX,OKE,PLTR,SHECY,NFLX,BKNG,TMUS,XEL",6.950258198326322,100000,232373.33031258383,0.1590123725278141
2021-01-01,2022-01-01,2022-01-01,2023-01-01 00:00:00,High Profit Stocks,"GOOGL,PLD,MSFT,NSC,SRE,AZO,PAYX,CM",3.9523445711542777,100000,85720.54175048509,0.2662447689403733
2021-01-01,2022-01-01,2022-01-01,2023-01-01 00:00:00,High Sharpe Ratio Stocks,"GOOGL,PLD,NSC,SRE,KKR,BX,ACN,PAYX,SGOV",3.6675616008590946,100000,76607.19271887277,0.2662447689403733
2022-01-01,2023-01-01,2023-01-01,2024-01-01 00:00:00,High Profit Stocks,"MRK,TMUS,HWM,ORLY,MPLX,NVO,DE,FICO",1.6838008444779895,100000,192379.66472908575,-0.2063650837308051
2022-01-01,2023-01-01,2023-01-01,2024-01-01 00:00:00,High Sharpe Ratio Stocks,"MRK,TMUS,HWM,ORLY,DE,NVO,TRV,FICO",1.75533052168394,100000,187688.90517687864,-0.2063650837308051
2023-01-01,2024-01-01,2024-01-01,2025-01-01 00:00:00,High Profit Stocks,"SHECY,VST,AIQUY,ANET,MPLX,NVDA,HLT,META,SGOV",3.723087830737198,100000,158074.75663740677,0.2367246279740451
2023-01-01,2024-01-01,2024-01-01,2025-01-01 00:00:00,High Sharpe Ratio Stocks,"SHECY,VST,AIQUY,RCL,MPLX,BKNG,FICO,NVDA,SGOV",3.808642578725928,100000,164531.55863056413,0.2367246279740451
2024-01-01,2025-01-01,2025-01-01,2026-01-01 00:00:00,High Profit Stocks,"DECK,GE,K,WELL,PEG,MO,TMUS,NWG",3.560945106071068,100000,129157.31617352733,0.22784687781309826
2024-01-01,2025-01-01,2025-01-01,2026-01-01 00:00:00,High Sharpe Ratio Stocks,"PEG,PLTR,MO,TCOM,APP,K,IBKR,NFLX,SGOV",4.395605522965952,100000,120744.37134421774,0.22784687781309826
